OrderID,OrderDate,Region,Product,Customer,SalesRep,Quantity,UnitPrice,Revenue
1000,2025-02-27,North,Usb-C Cable,Customer 15,Priya,2.0,2095.22,4190.44
1002,2025-08-03,West,Webcam Hd,Customer 18,Arun,3.0,1968.06,5904.18
1005,2025-04-27,South,Usb-C Cable,Customer 56,Arun,3.0,791.55,2374.65
1006,2025-07-01,North,Desk Lamp,Customer 60,Meena,2.0,1539.47,3078.94
1007,2025-08-25,North,Webcam Hd,Customer 45,Suresh,4.0,1928.75,7715.0
1010,2025-07-24,West,Usb-C Cable,Customer 33,Divya,2.0,2727.36,5454.72
1011,2025-05-08,East,Bluetooth Speaker,Customer 39,Divya,5.0,874.28,4371.4
1012,2025-02-28,South,Wireless Mouse,Customer 19,Divya,3.0,899.75,2699.25
1014,2025-01-01,West,Wireless Mouse,Customer 8,Karthik,5.0,454.88,2274.4
1015,2025-02-13,South,Mechanical Keyboard,Customer 50,Priya,3.0,1989.12,5967.36
1016,2025-08-05,West,Desk Lamp,Customer 20,Divya,2.0,1078.84,2157.68
1018,2025-04-02,South,Wireless Mouse,Customer 33,Priya,5.0,1993.17,9965.85
1019,2025-08-31,West,Bluetooth Speaker,Customer 13,Arun,2.0,1971.43,3942.86
1020,2025-01-28,North,Bluetooth Speaker,Customer 47,Karthik,2.0,468.22,936.44
1025,2025-09-18,East,Wireless Mouse,Customer 39,Arun,4.0,923.05,3692.2
1027,2025-05-03,East,Usb-C Cable,Customer 43,Meena,5.0,962.27,4811.35
1028,2025-08-23,South,Mechanical Keyboard,Customer 14,Suresh,5.0,542.24,2711.2
1029,2025-07-09,East,Bluetooth Speaker,Customer 54,Suresh,5.0,1644.06,8220.3
1031,2025-04-15,West,Laptop Stand,Customer 58,Arun,5.0,1968.45,9842.25
1032,2025-03-08,Unknown,Desk Lamp,Customer 29,Suresh,3.0,1352.0,4056.0
1033,2025-03-18,South,Webcam Hd,Customer 36,Priya,3.0,453.27,1359.81
1034,2025-01-21,West,Webcam Hd,Customer 16,Meena,2.0,843.76,1687.52
1035,2025-03-21,East,Usb-C Cable,Customer 57,Divya,1.0,522.61,522.61
1036,2025-05-08,East,Desk Lamp,Customer 7,Divya,1.0,2981.42,2981.42
1037,2025-06-29,West,Usb-C Cable,Customer 2,Meena,4.0,964.69,3858.76
1038,2025-05-23,East,Webcam Hd,Customer 54,Suresh,2.0,276.0,552.0
1039,2025-05-16,South,Webcam Hd,Customer 28,Karthik,2.0,1020.22,2040.44
1042,2025-09-17,East,Laptop Stand,Customer 26,Meena,5.0,1387.26,6936.3
1043,2025-03-31,East,Mechanical Keyboard,Customer 54,Arun,5.0,752.69,3763.45
1045,2025-02-13,South,Wireless Mouse,Customer 53,Priya,5.0,529.59,2647.95
1050,2025-09-24,West,Laptop Stand,Customer 29,Arun,5.0,476.22,2381.1
1051,2025-03-12,West,Bluetooth Speaker,Customer 45,Priya,4.0,293.91,1175.64
1052,2025-02-01,East,Bluetooth Speaker,Customer 58,Suresh,1.0,3227.32,3227.32
1054,2025-12-08,North,Bluetooth Speaker,Customer 22,Meena,3.0,1865.08,5595.24
1055,2025-01-14,North,Wireless Mouse,Customer 42,Divya,3.0,2976.03,8928.09
1056,2025-04-19,South,Laptop Stand,Customer 49,Divya,5.0,3269.63,16348.15
1058,2025-05-07,North,Webcam Hd,Customer 10,Priya,3.0,1032.86,3098.58
1059,2025-05-12,East,Webcam Hd,Customer 39,Meena,2.0,3190.52,6381.04
1060,2025-01-14,East,Bluetooth Speaker,Customer 46,Priya,2.0,1556.15,3112.3
1061,2025-04-06,North,Laptop Stand,Customer 35,Divya,2.0,299.36,598.72
1062,2025-08-09,East,Laptop Stand,Customer 41,Divya,3.0,934.29,2802.87
1063,2025-05-09,East,Desk Lamp,Customer 38,Karthik,2.0,2846.35,5692.7
1064,2025-08-19,West,Webcam Hd,Customer 40,Meena,3.0,723.69,2171.07
1065,2025-04-19,North,Laptop Stand,Customer 18,Suresh,5.0,1352.14,6760.7
1067,2025-05-05,South,Bluetooth Speaker,Customer 36,Suresh,2.0,1098.23,2196.46
1068,2025-08-21,North,Laptop Stand,Customer 15,Arun,4.0,738.2,2952.8
1070,2025-04-10,Unknown,Laptop Stand,Customer 12,Karthik,1.0,2012.65,2012.65
1072,2025-01-27,West,Wireless Mouse,Customer 53,Arun,3.0,913.9,2741.7
1073,2025-03-18,South,Usb-C Cable,Customer 8,Suresh,3.0,1527.82,4583.46
1074,2025-07-14,West,Laptop Stand,Customer 56,Suresh,3.0,809.97,2429.91
1075,2025-02-20,West,Laptop Stand,Customer 43,Arun,5.0,466.45,2332.25
1076,2025-08-19,North,Wireless Mouse,Customer 15,Karthik,5.0,2142.77,10713.85
1077,2025-05-16,East,Wireless Mouse,Customer 35,Priya,3.0,851.2,2553.6
1078,2025-06-07,West,Wireless Mouse,Customer 30,Meena,5.0,1960.02,9800.1
1081,2025-09-09,West,Laptop Stand,Customer 27,Karthik,2.0,1840.92,3681.84
1082,2025-09-11,East,Mechanical Keyboard,Customer 3,Divya,2.0,759.43,1518.86
1085,2025-05-03,North,Mechanical Keyboard,Customer 1,Suresh,3.0,282.54,847.62
1086,2025-03-02,West,Desk Lamp,Customer 19,Suresh,5.0,1065.88,5329.4
1087,2025-03-16,West,Webcam Hd,Customer 33,Meena,3.0,2740.97,8222.91
1089,2025-09-05,South,Mechanical Keyboard,Customer 49,Suresh,3.0,1085.48,3256.44
1091,2025-03-19,North,Usb-C Cable,Customer 33,Suresh,2.0,2759.3,5518.6
1092,2025-08-22,East,Bluetooth Speaker,Customer 56,Meena,3.0,297.18,891.54
1093,2025-07-23,South,Webcam Hd,Customer 55,Suresh,3.0,819.26,2457.78
1094,2025-01-19,West,Webcam Hd,Customer 44,Karthik,4.0,1835.23,7340.92
1095,2025-02-21,East,Desk Lamp,Customer 20,Arun,1.0,846.32,846.32
1096,2025-03-16,East,Webcam Hd,Customer 44,Priya,3.0,456.98,1370.94
1098,2025-05-28,South,Bluetooth Speaker,Customer 23,Suresh,5.0,2183.72,10918.6
1099,2025-06-04,East,Bluetooth Speaker,Customer 7,Priya,3.0,1456.72,4370.16
1100,2025-12-01,North,Wireless Mouse,Customer 37,Meena,1.0,1572.5,1572.5
1101,2025-04-28,West,Webcam Hd,Customer 13,Suresh,5.0,2101.18,10505.9
1102,2025-12-03,North,Laptop Stand,Customer 51,Divya,1.0,1458.49,1458.49
1103,2025-06-17,East,Usb-C Cable,Customer 9,Suresh,2.0,1499.54,2999.08
1104,2025-09-04,South,Wireless Mouse,Customer 30,Arun,3.0,3278.81,9836.43
1106,2025-07-15,South,Webcam Hd,Customer 15,Divya,1.0,1614.19,1614.19
1107,2025-04-24,West,Desk Lamp,Customer 20,Meena,3.0,277.46,832.38
1108,2025-10-09,South,Usb-C Cable,Customer 57,Suresh,3.0,989.74,2969.22
1110,2025-04-22,West,Usb-C Cable,Customer 55,Karthik,2.0,1945.96,3891.92
1111,2025-01-02,North,Usb-C Cable,Customer 8,Divya,2.0,1883.9,3767.8
1112,2025-01-26,West,Usb-C Cable,Customer 51,Suresh,4.0,318.72,1274.88
1113,2025-04-30,East,Webcam Hd,Customer 1,Karthik,3.0,503.01,1509.03
1117,2025-08-16,South,Laptop Stand,Customer 39,Priya,2.0,476.55,953.1
1118,2025-06-16,North,Bluetooth Speaker,Customer 33,Suresh,3.0,316.53,949.59
1120,2025-05-11,East,Webcam Hd,Customer 60,Divya,2.0,318.84,637.68
1121,2025-07-10,North,Webcam Hd,Customer 36,Suresh,2.0,1847.97,3695.94
1122,2025-05-08,North,Webcam Hd,Customer 20,Karthik,2.0,1501.22,3002.44
1124,2025-01-14,North,Usb-C Cable,Customer 18,Meena,5.0,775.19,3875.95
1125,2025-07-25,East,Desk Lamp,Customer 41,Arun,2.0,2011.19,4022.38
1131,2025-01-22,North,Bluetooth Speaker,Customer 59,Arun,2.0,1477.8,2955.6
1133,2025-02-24,East,Webcam Hd,Customer 26,Suresh,2.0,1073.03,2146.06
1134,2025-03-28,South,Mechanical Keyboard,Customer 33,Priya,2.0,835.34,1670.68
1138,2025-01-20,South,Laptop Stand,Customer 5,Meena,2.0,1527.21,3054.42
1141,2025-05-25,East,Laptop Stand,Customer 44,Suresh,1.0,3077.51,3077.51
1143,2025-06-29,East,Usb-C Cable,Customer 39,Meena,2.0,808.42,1616.84
1144,2025-07-03,East,Mechanical Keyboard,Customer 24,Arun,2.0,747.91,1495.82
1145,2025-09-06,West,Usb-C Cable,Customer 10,Arun,5.0,3171.81,15859.05
1146,2025-09-27,South,Webcam Hd,Customer 9,Suresh,3.0,465.29,1395.87
1147,2025-03-26,North,Bluetooth Speaker,Customer 24,Meena,4.0,1021.1,4084.4
1148,2025-04-30,North,Bluetooth Speaker,Customer 58,Priya,2.0,2177.76,4355.52
1150,2025-10-07,South,Laptop Stand,Customer 6,Priya,5.0,1079.98,5399.9
1151,2025-04-24,South,Wireless Mouse,Customer 27,Arun,3.0,1461.21,4383.63
1153,2025-08-30,West,Bluetooth Speaker,Customer 40,Arun,2.0,284.4,568.8
1154,2025-05-08,North,Usb-C Cable,Customer 20,Arun,1.0,491.0,491.0
1155,2025-02-26,North,Webcam Hd,Customer 33,Suresh,4.0,1856.5,7426.0
1158,2025-06-26,South,Webcam Hd,Customer 48,Karthik,3.0,290.17,870.51
1161,2025-01-25,North,Wireless Mouse,Customer 52,Karthik,3.0,1047.61,3142.83
1162,2025-06-04,West,Laptop Stand,Customer 60,Suresh,5.0,2748.65,13743.25
1163,2025-04-03,South,Wireless Mouse,Customer 6,Karthik,5.0,790.36,3951.8
1165,2025-08-02,South,Mechanical Keyboard,Customer 52,Meena,3.0,277.64,832.92
1166,2025-01-18,South,Usb-C Cable,Customer 50,Meena,2.0,780.28,1560.56
1169,2025-08-17,North,Desk Lamp,Customer 59,Divya,4.0,277.22,1108.88
1170,2025-08-16,South,Webcam Hd,Customer 23,Meena,2.0,1511.64,3023.28
1171,2025-03-31,West,Wireless Mouse,Customer 13,Priya,4.0,2995.41,11981.64
1174,2025-04-04,East,Mechanical Keyboard,Customer 59,Arun,2.0,1394.97,2789.94
1177,2025-01-15,North,Webcam Hd,Customer 50,Suresh,5.0,1883.38,9416.9
1178,2025-01-16,North,Webcam Hd,Customer 20,Divya,4.0,3183.35,12733.4
1179,2025-01-31,West,Bluetooth Speaker,Customer 31,Divya,4.0,816.04,3264.16
1180,2025-06-26,East,Laptop Stand,Customer 33,Suresh,2.0,757.73,1515.46
1181,2025-03-14,North,Laptop Stand,Customer 25,Suresh,3.0,545.18,1635.54
1183,2025-08-23,Unknown,Webcam Hd,Customer 23,Arun,1.0,798.18,798.18
1184,2025-08-29,North,Wireless Mouse,Customer 28,Priya,5.0,1945.34,9726.7
1185,2025-01-27,South,Mechanical Keyboard,Customer 19,Arun,3.0,1484.12,4452.36
1187,2025-09-14,North,Wireless Mouse,Customer 9,Meena,2.0,2983.25,5966.5
1188,2025-09-21,Unknown,Webcam Hd,Customer 21,Priya,3.0,1570.75,4712.25
1188,2025-09-21,South,Webcam Hd,Customer 21,Priya,3.0,1570.75,4712.25
1189,2025-09-18,North,Bluetooth Speaker,Customer 53,Arun,2.0,826.77,1653.54
1191,2025-07-14,West,Wireless Mouse,Customer 37,Meena,2.0,450.99,901.98
1192,2025-04-15,West,Desk Lamp,Customer 47,Arun,3.0,1411.26,4233.78
1193,2025-09-27,South,Usb-C Cable,Customer 30,Suresh,2.0,1455.32,2910.64
1194,2025-05-16,West,Usb-C Cable,Customer 18,Suresh,5.0,543.06,2715.3
1195,2025-04-17,South,Bluetooth Speaker,Customer 23,Suresh,5.0,738.58,3692.9
1196,2025-07-22,East,Laptop Stand,Customer 3,Karthik,2.0,866.76,1733.52
1197,2025-04-20,North,Mechanical Keyboard,Customer 45,Karthik,3.0,305.92,917.76
