OrderID,OrderDate,Region,Product,Customer,SalesRep,Quantity,UnitPrice
1352,04/20/2025,WEST, webcam hd,Customer 14,Karthik,3,1355.11
1130,03/31/2025,East,Mechanical Keyboard,Customer 46,Priya,-1,1598.94
1356,2025-05-22,north,Laptop Stand,Customer 42,Meena,5,464.06
1103,17/06/2025,east ,usb-c cable,Customer 9,Suresh,2,1499.54
1310,01/21/2025,South ,USB-C Cable,Customer 6,Meena,4,
1015,13/02/2025,South,Mechanical Keyboard,Customer 50,Priya,3,1989.12
1392,25/01/2025,west,Mechanical Keyboard,Customer 50,Priya,0,522.0
1306,13-02-2025,east , webcam hd,Customer 53,Divya,2,1519.33
1016,08/05/2025,WEST,Desk Lamp,Customer 20,Divya,2,1078.84
1105,2025-07-23,South,Bluetooth Speaker,Customer 1,Karthik,-1,296.3
1204,2025-09-21,,Bluetooth Speaker,Customer 43,Arun,five,496.75
1088,2025-06-24, north,Laptop Stand,Customer 47,Karthik,0,1648.57
1061,04-06-2025, north,Laptop stand ,Customer 35,Divya,2,299.36
1228,06/13/2025,South ,Laptop stand ,Customer 27,Arun,0,2831.82
1237,13/09/2025,South ,Webcam HD,Customer 55,Arun,-1,282.84
1137,04/02/2025,west, webcam hd,Customer 20,Karthik,0,290.15
1114,01/14/2025, north,Laptop stand ,Customer 51,Priya,0,721.62
1112,2025-01-26,WEST,USB-C Cable,Customer 51,Suresh,4,318.72
1301,01/27/2025,WEST,Mechanical Keyboard,Customer 3,Divya,2,1072.13
1348,23-03-2025,north,Desk Lamp,Customer 33,Divya,five,3209.71
1102,12-03-2025, north,Laptop Stand,Customer 51,Divya,1,1458.49
1296,05/13/2025,South ,USB-C Cable,Customer 48,Karthik,2,3238.86
1194,16/05/2025,WEST,usb-c cable,Customer 18,Suresh,5,543.06
1083,21-09-2025,west,Bluetooth Speaker,Customer 4,Priya,-1,818.6
1284,22-02-2025,South ,Laptop stand ,Customer 57,Karthik,3,1053.64
1376,08-02-2025,north, webcam hd,Customer 15,Divya,5,793.29
1126,2025-03-22,north,Desk Lamp,Customer 21,Suresh,0,321.92
1128,2025-02-28,East,wireless mouse ,Customer 19,Meena,0,1004.38
1321,2025-01-15,east ,Webcam HD,Customer 13,Divya,-1,
1127,26-01-2025,north,bluetooth  speaker,Customer 43,Divya,,1481.62
1326,2025-07-13,north,USB-C Cable,Customer 12,Meena,1,2178.39
1291,07-02-2025,South,Wireless Mouse,Customer 17,Priya,1,325.83
1209,11/02/2025,South ,wireless mouse ,Customer 59,Suresh,2,318.66
1073,2025-03-18,South,usb-c cable,Customer 8,Suresh,3,1527.82
1144,07-03-2025,East,Mechanical Keyboard,Customer 24,Arun,2,747.91
1193,27/09/2025,South ,USB-C Cable,Customer 30,Suresh,2,1455.32
1211,29/01/2025,east ,Mechanical Keyboard,Customer 27,Divya,0,302.52
1124,2025-01-14, north,USB-C Cable,Customer 18,Meena,5,775.19
1359,2025-09-17,east , webcam hd,Customer 57,Suresh,3,734.7
1056,19/04/2025,South ,Laptop stand ,Customer 49,Divya,5,3269.63
1067,2025-05-05,South ,bluetooth  speaker,Customer 36,Suresh,2,1098.23
1373,23-02-2025,north,wireless mouse ,Customer 51,Arun,,509.88
1260,2025-01-12,South, webcam hd,Customer 52,Priya,4,1401.4
1342,22/05/2025, north,Desk Lamp,Customer 40,Suresh,-1,2950.77
1393,14/06/2025,East,Webcam HD,Customer 59,Meena,4,782.68
1355,22-02-2025,South ,Mechanical Keyboard,Customer 42,Suresh,0,766.8
1024,30-01-2025,South ,Wireless Mouse,Customer 4,Suresh,,1624.73
1134,28-03-2025,South,Mechanical Keyboard,Customer 33,Priya,2,835.34
1040,2025-04-08, north,Desk Lamp,Customer 28,Arun,-1,3022.06
1225,22/04/2025,WEST,Laptop stand ,Customer 20,Arun,4,545.12
1027,2025-05-03,East,USB-C Cable,Customer 43,Meena,5,962.27
1031,2025-04-15,west,Laptop Stand,Customer 58,Arun,five,1968.45
1279,08/03/2025,South , webcam hd,Customer 49,Arun,five,306.55
1338,18-05-2025,east ,Desk Lamp,Customer 43,Arun,2,1936.55
1290,06/12/2025,East,Webcam HD,Customer 27,Karthik,-1,1868.17
1305,01/31/2025,north,wireless mouse ,Customer 3,Priya,-1,1039.13
1377,2025-01-21,South , webcam hd,Customer 21,Divya,five,320.0
1323,15-06-2025, north,USB-C Cable,Customer 38,Meena,3,2765.63
1243,06/01/2025,South,wireless mouse ,Customer 18,Priya,3,2112.5
1107,24-04-2025,west,Desk Lamp,Customer 20,Meena,3,277.46
1101,2025-04-28,WEST, webcam hd,Customer 13,Suresh,5,2101.18
1066,28/07/2025,WEST,Desk Lamp,Customer 31,Meena,,1057.53
1123,2025-02-25,South ,wireless mouse ,Customer 49,Karthik,0,529.66
1116,2025-01-23,west, webcam hd,Customer 2,Arun,,2939.99
1037,2025-06-29,WEST,usb-c cable,Customer 2,Meena,4,964.69
1372,2025-01-05,East, webcam hd,Customer 7,Meena,-1,818.62
1332,07/12/2025,South,Mechanical Keyboard,Customer 58,Arun,2,1644.49
1397,27/05/2025, north,Mechanical Keyboard,Customer 7,Arun,3,454.4
1270,23/08/2025,South,Webcam HD,Customer 8,Karthik,-1,3293.44
1230,2025-06-22,west,Desk Lamp,Customer 42,Meena,,932.71
1263,2025-04-06,South ,usb-c cable,Customer 30,Arun,5,2143.98
1280,22/03/2025,west,Wireless Mouse,Customer 28,Priya,3,1919.79
1159,26/08/2025,east ,USB-C Cable,Customer 5,Meena,,
1081,09-09-2025,west,Laptop stand ,Customer 27,Karthik,2,1840.92
1195,17/04/2025,South ,bluetooth  speaker,Customer 23,Suresh,5,738.58
1142,2025-07-17,north,Desk Lamp,Customer 55,Meena,0,2789.29
1294,08/06/2025,WEST,Wireless Mouse,Customer 16,Arun,3,296.21
1055,14/01/2025, north,wireless mouse ,Customer 42,Divya,3,2976.03
1278,02/02/2025,,Bluetooth Speaker,Customer 53,Priya,,770.69
1281,2025-02-17,north,wireless mouse ,Customer 24,Meena,3,292.8
1174,04/04/2025,East,Mechanical Keyboard,Customer 59,Arun,2,1394.97
1291,07-02-2025,South,Wireless Mouse,Customer 17,Priya,1,325.83
1250,2025-03-11,South ,Webcam HD,Customer 45,Priya,,747.49
1383,23-06-2025,East, webcam hd,Customer 47,Priya,,825.16
1154,05-08-2025,north,usb-c cable,Customer 20,Arun,1,491.0
1155,26/02/2025, north, webcam hd,Customer 33,Suresh,4,1856.5
1153,08/30/2025,west,bluetooth  speaker,Customer 40,Arun,2,284.4
1358,01/19/2025,South ,Desk Lamp,Customer 46,Priya,-1,2112.9
1161,2025-01-25,north,wireless mouse ,Customer 52,Karthik,3,1047.61
1317,09/27/2025, north,Bluetooth Speaker,Customer 51,Meena,2,1007.89
